birth_1_value,birth_1_lower,birth_1_upper,birth_2_value,birth_2_lower,birth_2_upper,death_value,death_lower,death_upper,state_rate_value,state_rate_lower,state_rate_upper
3.926008939743e-01,-2.599239349365e-03,7.259187698364e-01,3.537557125092e-01,-9.048831462860e-02,7.241287231445e-01,1.137394905090e-01,-6.951618194580e-02,3.942462205887e-01,5.177175998688e-02,1.012599468231e-02,7.607531547546e-02
4.203821420670e-01,7.953619956970e-02,1.482182741165e+00,3.798732757568e-01,5.823385715485e-02,8.931685686111e-01,1.889231204987e-01,-8.357191085815e-02,6.544233560562e-01,5.193412303925e-02,-1.032984256744e-02,1.201791763306e-01
7.850526571274e-01,3.030655384064e-01,1.213351964951e+00,2.899601459503e-01,9.781539440155e-02,8.149076700211e-01,1.685364246368e-01,3.490555286407e-02,4.838405847549e-01,4.294180870056e-02,-1.341342926025e-03,1.069889068604e-01
3.636583089828e-01,7.303607463837e-02,1.393965244293e+00,7.734295129776e-01,3.655796051025e-01,1.786287784576e+00,1.130728721619e-01,-1.105962991714e-01,9.236447811127e-01,3.945040702820e-02,-2.986520528793e-02,1.459027528763e-01
4.942985773087e-01,1.092028617859e-01,1.647056818008e+00,9.233882427216e-01,2.852315902710e-01,1.746288537979e+00,2.047681808472e-01,-6.264388561249e-02,9.074573516846e-01,6.126022338867e-02,-2.868723869324e-02,1.480462551117e-01
3.426868915558e-01,-4.041409492493e-02,1.193372964859e+00,6.391792297363e-01,-6.348431110382e-03,1.417616605759e+00,1.456265449524e-01,-1.079324483871e-01,5.969421863556e-01,4.327821731567e-02,-1.220321655273e-02,1.146253347397e-01
2.361605167389e-01,8.115017414093e-02,1.418588876724e+00,5.144371986389e-01,3.202606439590e-01,1.674714088440e+00,1.148422956467e-01,-7.721316814423e-02,8.640207052231e-01,4.554820060730e-02,-2.295428514481e-02,1.407338380814e-01
8.637893199921e-01,2.045757770538e-01,1.420699119568e+00,3.796545267105e-01,3.069078922272e-02,1.034564733505e+00,1.697555780411e-01,-3.968238830566e-03,5.873386859894e-01,5.296456813812e-02,-1.397675275803e-02,1.192307472229e-01
8.427144289017e-01,2.516249418259e-01,1.336791276932e+00,4.617344141006e-01,1.143004894257e-01,1.008870124817e+00,1.664940118790e-01,6.410598754883e-03,5.527157783508e-01,5.636513233185e-02,-8.449375629425e-03,1.158283948898e-01
8.719885349274e-01,2.645238637924e-01,1.362521886826e+00,1.340448856354e-01,-2.505540847778e-03,5.999147891998e-01,1.207966804504e-01,-3.742825984955e-02,4.346899986267e-01,3.225028514862e-02,-1.052367687225e-02,1.049078702927e-01
8.563400506973e-01,2.729907035828e-01,1.246367454529e+00,2.718521356583e-01,8.469986915588e-02,8.226333856583e-01,1.256793737411e-01,-1.497906446457e-02,4.819930791855e-01,4.974317550659e-02,-8.132636547089e-03,1.078287363052e-01
7.333307266235e-01,2.245725393295e-01,1.248647928238e+00,7.111996412277e-01,2.372391223907e-01,1.248504400253e+00,1.816673278809e-01,2.204179763794e-04,6.442831754684e-01,7.800030708313e-02,-1.353842020035e-02,1.178132295609e-01
7.855644226074e-01,2.605928182602e-01,1.418588876724e+00,1.625173091888e-01,-5.770027637482e-03,6.191152334213e-01,1.841027736664e-01,-8.136510848999e-03,4.948198795319e-01,1.985847949982e-02,-1.024353504181e-02,1.111556291580e-01
6.327608823776e-01,2.616341114044e-01,1.316962480545e+00,2.561124563217e-01,5.745601654053e-02,7.733634710312e-01,2.044495344162e-01,3.021931648254e-02,5.646780729294e-01,3.890585899353e-02,-5.699157714844e-03,1.099668741226e-01
