birth_1_value,birth_1_lower,birth_1_upper,birth_2_value,birth_2_lower,birth_2_upper,death_value,death_lower,death_upper,state_rate_value,state_rate_lower,state_rate_upper
2.361605167389e-01,1.574183702469e-01,1.130047798157e+00,5.144371986389e-01,3.166952133179e-01,1.450030326843e+00,1.148422956467e-01,-8.574074506760e-02,8.169174194336e-01,4.554820060730e-02,-3.117239475250e-02,1.289415359497e-01
8.637893199921e-01,2.895509004593e-01,1.131906270981e+00,3.796545267105e-01,2.790749073029e-02,8.636554479599e-01,1.697555780411e-01,-1.317268610001e-02,5.472267866135e-01,5.296456813812e-02,-2.227044105530e-02,1.076608896255e-01
8.427144289017e-01,3.399189710617e-01,1.058008909225e+00,4.617344141006e-01,1.112915277481e-01,8.401192426682e-01,1.664940118790e-01,-2.889871597290e-03,5.134792327881e-01,5.636513233185e-02,-1.678943634033e-02,1.042937040329e-01
8.719885349274e-01,3.537280559540e-01,1.080669641495e+00,1.340448856354e-01,-5.199253559113e-03,4.655176401138e-01,1.207966804504e-01,-4.632347822189e-02,3.984359502792e-01,3.225028514862e-02,-1.884633302689e-02,9.348607063293e-02
8.563400506973e-01,3.627920150757e-01,9.783726930618e-01,2.718521356583e-01,8.177065849304e-02,6.695270538330e-01,1.256793737411e-01,-2.408182621002e-02,4.445434808731e-01,4.974317550659e-02,-1.647537946701e-02,9.637665748596e-02
7.333307266235e-01,3.109581470490e-01,9.803810119629e-01,7.111996412277e-01,2.338980436325e-01,1.059623718262e+00,1.816673278809e-01,-9.022891521454e-03,6.027326583862e-01,7.800030708313e-02,-2.183562517166e-02,1.062576770782e-01
7.855644226074e-01,3.495194911957e-01,1.130048036575e+00,1.625173091888e-01,-8.454918861389e-03,4.831051826477e-01,1.841027736664e-01,-1.730257272720e-02,4.570462703705e-01,1.985847949982e-02,-1.856857538223e-02,9.966921806335e-02
6.327608823776e-01,3.506340980530e-01,1.040545701981e+00,2.561124563217e-01,5.460035800934e-02,6.243958473206e-01,2.044495344162e-01,2.069890499115e-02,5.251392126083e-01,3.890585899353e-02,-1.406246423721e-02,9.849274158478e-02
9.368487596512e-01,3.320801258087e-01,9.678275585175e-01,3.534637689590e-01,1.055586338043e-01,7.735729217529e-01,1.174142360687e-01,-3.901827335358e-02,4.741932153702e-01,6.301498413086e-02,-2.110034227371e-02,9.856450557709e-02
4.497120380402e-01,1.798537969589e-01,1.338764429092e+00,8.408204317093e-01,2.542873620987e-01,1.500615358353e+00,2.049825191498e-01,-6.619894504547e-02,8.560371398926e-01,5.521786212921e-02,-3.630828857422e-02,1.363352537155e-01
9.345899820328e-01,3.350512981415e-01,1.014473199844e+00,4.243454933167e-01,9.783923625946e-02,8.458071947098e-01,1.286181211472e-01,-1.070040464401e-02,4.956446886063e-01,6.097698211670e-02,-1.881003379822e-02,1.041858196259e-01
5.804075002670e-01,4.333084821701e-01,6.581873893738e-01,4.512928724289e-01,2.940237522125e-01,5.450670719147e-01,1.931297779083e-01,3.656160831451e-02,3.091412782669e-01,4.787135124207e-02,1.122164726257e-02,6.868374347687e-02
4.282243251801e-01,1.935542821884e-01,1.158428192139e+00,6.262847185135e-01,2.833743095398e-01,1.185009956360e+00,2.515009641647e-01,-5.030405521393e-02,7.812221050262e-01,6.936621665955e-02,-2.855205535889e-02,1.208411455154e-01
5.015498399734e-01,2.258007526398e-01,1.218404054642e+00,7.568894624710e-01,2.138096094131e-01,1.354756355286e+00,2.216898202896e-01,-4.484820365906e-02,7.632484436035e-01,5.935871601105e-02,-2.879375219345e-02,1.262016296387e-01
5.008865594864e-01,-7.475227117538e-02,9.364851713181e-01,5.153577327728e-01,-1.510295867920e-01,9.579771757126e-01,1.587438583374e-01,-2.131004929543e-01,4.884204864502e-01,5.818891525269e-02,-2.325475215912e-02,9.251463413239e-02
8.369196653366e-01,3.558983802795e-01,1.016225099564e+00,2.095699310303e-01,6.335854530334e-02,6.594231128693e-01,1.293396949768e-01,-2.486115694046e-02,4.462149143219e-01,4.585099220276e-02,-1.940470933914e-02,1.031918525696e-01
